301643;Jacob Guzman;2001-12-10;Mechanical Engineering;2020;2023;2;Data Science;168595;1661
672876;Linda Hampton;2003-08-07;Civil Engineering;2020;2018;3;Data Science;52582;3129
714588;Luis Morton;1997-12-21;Electrical Engineering;2020;2017;2;Data Science;195927;37615
697549;Ashley Robles;2001-07-10;Chemical Engineering;2020;2022;2;Data Science;147848;11042
702052;Samantha Brown;2000-08-21;Electrical Engineering;2020;2020;1;Data Science;55199;266
956581;Lynn Meyers;2003-12-16;Computer Science;2020;2020;1;Data Science;58606;9751
691592;Jillian Flowers;2005-06-28;Civil Engineering;2020;2018;3;Data Science;95714;6561
218618;Mr. James Cummings;2005-07-18;Civil Engineering;2020;2019;4;Data Science;181484;7737
770191;Michelle King;2005-10-15;Chemical Engineering;2020;2021;3;Data Science;61271;411
108854;Michael Benjamin;2001-11-10;Chemical Engineering;2020;2022;3;Data Science;100130;5472
431509;Patricia Thomas;1999-05-09;Mechanical Engineering;2020;2019;3;Data Science;167721;19614
412485;Jasmine Serrano;2006-04-08;Electrical Engineering;2020;2017;2;Data Science;148253;8589
512173;Deanna Stone;1999-04-27;Electrical Engineering;2020;2022;4;Data Science;164450;10249
926257;Jacob May;2006-05-06;Computer Science;2020;2017;2;Data Science;75267;565
573813;Marissa Ritter;1997-10-01;Electrical Engineering;2020;2021;2;Data Science;173082;31325
837116;Stacey Welch;1998-12-16;Mechanical Engineering;2020;2023;2;Data Science;178977;22273
859565;Nathan Dunn;2004-04-01;Electrical Engineering;2020;2017;1;Data Science;62800;5291
267638;Zachary Boyd;1998-06-28;Electrical Engineering;2020;2020;2;Data Science;142057;12569
658976;Mrs. Morgan Sullivan;1998-10-03;Computer Science;2020;2018;4;Data Science;105982;3579
153003;Allen Myers;2000-05-24;Electrical Engineering;2020;2020;4;Data Science;177002;14185
205632;Larry Jones;2000-09-01;Computer Science;2020;2019;3;Data Science;179521;33289
898248;Brittany Diaz;2003-05-24;Mechanical Engineering;2020;2018;1;Data Science;146683;5690
327622;Dylan Brown;2003-08-24;Chemical Engineering;2020;2018;3;Data Science;104654;2341
655498;Veronica Banks;2006-05-06;Chemical Engineering;2020;2018;1;Data Science;73682;14657
673709;Robert Dyer;2003-08-02;Civil Engineering;2020;2022;3;Data Science;162683;24307
523956;James Morales;1997-08-20;Mechanical Engineering;2020;2021;3;Data Science;135856;25853
847193;Ryan Wilkerson;2005-12-16;Electrical Engineering;2020;2020;1;Data Science;160948;9529
405796;John Wallace;2002-03-30;Civil Engineering;2020;2021;3;Data Science;178351;2123
539483;Lisa Matthews;1998-07-13;Mechanical Engineering;2020;2022;3;Data Science;180780;2349
872943;Kenneth Herrera;1998-11-13;Electrical Engineering;2020;2022;4;Data Science;190668;8978
115997;Mario Ellison;2001-07-27;Chemical Engineering;2020;2022;1;Data Science;115242;22314
723874;Alicia Banks;2002-07-23;Civil Engineering;2020;2019;4;Data Science;59502;3046
114817;Kevin Wilson;1998-03-26;Computer Science;2020;2018;1;Data Science;51810;7278
471699;Karen Velazquez;1997-08-08;Civil Engineering;2020;2018;1;Data Science;147069;3869
193296;Kenneth Mcdaniel;2001-12-22;Electrical Engineering;2020;2020;3;Data Science;183269;6410
792459;Julie Stanton;2004-06-23;Chemical Engineering;2020;2021;4;Data Science;154906;3829
